препараты в отчетах;Препараты
алкодез c таб05г 4;Алкодез® ІС 0,5 №4
амиксин с табпо 006г 3;Амиксин® IC 0,06 №3
амиксин с табпо 006г 9;Амиксин® IC 0,06 №9
амиксин с табпо 0125г 3;Амиксин® IC 0,125 №3
амиксин с табпо 0125г 9;Амиксин® IC 0,125 №9
бензонал c таб005г3010х3;Бензонал IC® 0,05 №30
бензонал c таб01г 5010х5;Бензонал IC® 0,1 №50
гидазепам с таб002г 10x2;Гидазепам IC® 0,02 №20
гидазепам с таб005г 10;Гидазепам IC® 0,05 №10
гидазепам с табсубл002г20;Гидазепам IC® субл. 0,02 №20
гидазепам с табсубл005г10;Гидазепам IC® субл. 0,05 №10
интагра c табпо 100мг 1;Интагра® ІС 0,1 №1
интагра c табпо 100мг 2;Интагра® ІС 0,1 №2
интагра c табпо 100мг 4;Интагра® ІС 0,1 №4
интагра c табпо 25мг 1;Интагра® ІС 0,025 №1
интагра c табпо 25мг 2;Интагра® ІС 0,025 №2
интагра c табпо 25мг 4;Интагра® ІС 0,025 №4
интагра c табпо 50мг 1;Интагра® ІС 0,05 №1
интагра c табпо 50мг 2;Интагра® ІС 0,05 №2
интагра c табпо 50мг 4;Интагра® ІС 0,05 №4
кодесан с таб10;Кодесан® IC №10
кодтерпин с таб10;Кодтерпин IC® б/п №10
левана c таб00005г2010x2;Левана® IC 0,0005 № 20
левана c таб0001г 10;Левана® IC 0,001 № 10
левана c таб0002г 10;Левана® IC 0,002 № 10
ливерия c таб 05г 2010x2;Ливерия® ІС 0,5 №20
мебикар c таб03г 2010x2;Мебикар IC 0,3 №20
мебикар c таб05г 2010x2;Мебикар IC 0,5 №20
нообут с таб01г 2010х2;Нообут® IC 0,1 №20
нообут с таб025г 20 10х2;Нообут® IC 0,25 №20
паракод c таб10;Паракод® IC №10
пенталгин c таб 10;Пенталгин IC® б/п № 10
пятирчатка с таб10;Пятирчатка® IC №10
теофедрин c таб10;Теофедрин  IC® №10
транквилар с таб03г 20;Транквилар® IC 0,3 №20
амиспирон с таб10;Амиспирон® IC 0,08 №10
витамин с табапельс500мг24;Витамин С апельсин Акция №24
витамин с табапельс500мг56;Витамин С апельсин Акция №56
витамин с табжев500мг248x3;Витамин С №24
витамин с табжев500мг568x7;Витамин С №56
5 уп бадов;БАД
аааамиспирон с табл 0,08 г №10;ААААмиспирон ІС табл. 0,08 г №10
алкадез;Алкодез® ІС 0,5 №4
алкодез;Алкодез® ІС 0,5 №4
алкодез 0,5№10;Алкодез® ІС 0,5 №4
алкодез c 0,5 №44х1 табл;Алкодез® ІС 0,5 №4
алкодез c таб 0,5 г блистер № 4;Алкодез® ІС 0,5 №4
алкодез c таб 05г n 4;Алкодез® ІС 0,5 №4
алкодез c табл 0,5г №4   нтерхм украна;Алкодез® ІС 0,5 №4
алкодез c табл 0,5 г бл №4;Алкодез® ІС 0,5 №4
алкодез c табл 0,5 г бл №4 интерхим одо украина одесса уп;Алкодез® ІС 0,5 №4
алкодез c табл 0,5г №4;Алкодез® ІС 0,5 №4
